,Labels,Accuracy
0,demography,0.97
1,history,0.94
2,climate,0.89
3,geography,0.86
4,transport,0.86
5,sport,0.83
6,economics,0.83
7,education,0.79
8,media,0.73
9,culture,0.71
10,people,0.71
11,international_affairs,0.69
12,politics,0.66
13,etymology,0.63
14,health,0.56
15,recreation,0.51
16,faith,0.44
17,environment,0.42
18,crime,0.39
19,sights,0.38
20,district,0.32
21,tourism,0.25
22,law,0.22
23,other,0.2
24,infrastructure,0.2
25,facility,0.18
26,society,0.14
27,architecture,0.11
28,overview,0.03
29,science,0.0
